cust_id,region,signup_date
C0000,EU,01.01.2021
C0001,APAC,02.01.2021
C0002,NA,03.01.2021
C0003,NA,04.01.2021
C0004,EU,05.01.2021
C0005,EU,06.01.2021
C0006,EU,07.01.2021
C0007,APAC,08.01.2021
C0008,NA,09.01.2021
C0009,NA,10.01.2021
C0010,EU,11.01.2021
C0011,APAC,12.01.2021
C0012,APAC,13.01.2021
C0013,EU,14.01.2021
C0014,EU,15.01.2021
C0015,EU,16.01.2021
C0016,EU,17.01.2021
C0017,NA,18.01.2021
C0018,NA,19.01.2021
C0019,EU,20.01.2021
C0020,NA,21.01.2021
C0021,EU,22.01.2021
C0022,EU,23.01.2021
C0023,EU,24.01.2021
C0024,NA,25.01.2021
C0025,APAC,26.01.2021
C0026,EU,27.01.2021
C0027,NA,28.01.2021
C0028,NA,29.01.2021
C0029,EU,30.01.2021
C0030,NA,31.01.2021
C0031,EU,01.02.2021
C0032,EU,02.02.2021
C0033,APAC,03.02.2021
C0034,APAC,04.02.2021
C0035,APAC,05.02.2021
C0036,EU,06.02.2021
C0037,EU,07.02.2021
C0038,NA,08.02.2021
C0039,NA,09.02.2021
C0040,EU,10.02.2021
C0041,NA,11.02.2021
C0042,EU,12.02.2021
C0043,APAC,
C0044,EU,14.02.2021
C0045,NA,15.02.2021
C0046,EU,16.02.2021
C0047,NA,17.02.2021
C0048,NA,18.02.2021
C0049,EU,19.02.2021
C0050,APAC,20.02.2021
C0051,APAC,
C0052,APAC,22.02.2021
C0053,APAC,23.02.2021
C0054,NA,24.02.2021
C0055,APAC,25.02.2021
C0056,EU,26.02.2021
C0057,EU,27.02.2021
C0058,EU,28.02.2021
C0059,EU,01.03.2021
C0060,EU,02.03.2021
C0061,EU,03.03.2021
C0062,APAC,04.03.2021
C0063,EU,05.03.2021
C0064,EU,06.03.2021
C0065,NA,07.03.2021
C0066,EU,08.03.2021
C0067,APAC,09.03.2021
C0068,EU,10.03.2021
C0069,APAC,11.03.2021
C0070,APAC,12.03.2021
C0071,EU,13.03.2021
C0072,EU,14.03.2021
C0073,APAC,15.03.2021
C0074,NA,16.03.2021
C0075,NA,17.03.2021
C0076,APAC,18.03.2021
C0077,EU,19.03.2021
C0078,EU,20.03.2021
C0079,EU,21.03.2021
C0080,APAC,22.03.2021
C0081,NA,23.03.2021
C0082,EU,24.03.2021
C0083,EU,25.03.2021
C0084,EU,26.03.2021
C0085,EU,27.03.2021
C0086,NA,28.03.2021
C0087,NA,29.03.2021
C0088,APAC,30.03.2021
C0089,NA,31.03.2021
C0090,EU,01.04.2021
C0091,NA,02.04.2021
C0092,APAC,03.04.2021
C0093,NA,04.04.2021
C0094,APAC,05.04.2021
C0095,NA,06.04.2021
C0096,NA,07.04.2021
C0097,NA,08.04.2021
C0098,EU,09.04.2021
C0099,EU,10.04.2021
C0100,EU,
C0101,NA,12.04.2021
C0102,EU,13.04.2021
C0103,NA,14.04.2021
C0104,APAC,15.04.2021
C0105,EU,16.04.2021
C0106,NA,17.04.2021
C0107,APAC,
C0108,EU,19.04.2021
C0109,EU,20.04.2021
C0110,EU,21.04.2021
C0111,EU,22.04.2021
C0112,APAC,23.04.2021
C0113,APAC,24.04.2021
C0114,NA,25.04.2021
C0115,APAC,26.04.2021
C0116,APAC,
C0117,EU,28.04.2021
C0118,APAC,29.04.2021
C0119,NA,30.04.2021
C0120,APAC,01.05.2021
C0121,APAC,02.05.2021
C0122,EU,03.05.2021
C0123,EU,04.05.2021
C0124,EU,
C0125,NA,06.05.2021
C0126,APAC,07.05.2021
C0127,APAC,08.05.2021
C0128,EU,09.05.2021
C0129,NA,10.05.2021
