,cust_id,region,signup_date,total_invoices,max_invoice_amount,is_high_value
0,C0000,EU,2021-01-01,,,
1,C0001,APAC,2021-01-02,,,
2,C0002,,2021-01-03,2.0,123.51,False
3,C0003,,2021-01-04,,,
4,C0004,EU,2021-01-05,1.0,33.79,False
5,C0005,EU,2021-01-06,2.0,31.02,False
6,C0006,EU,2021-01-07,,,
7,C0007,APAC,2021-01-08,1.0,119.34,False
8,C0008,,2021-01-09,1.0,82.31,False
9,C0009,,2021-01-10,,,
10,C0010,EU,2021-01-11,,,
11,C0011,APAC,2021-01-12,1.0,169.16,False
12,C0012,APAC,2021-01-13,1.0,47.74,False
13,C0013,EU,2021-01-14,,,
14,C0014,EU,2021-01-15,1.0,57.08,False
15,C0015,EU,2021-01-16,2.0,76.97,False
16,C0016,EU,2021-01-17,,,
17,C0017,,2021-01-18,,,
18,C0018,,2021-01-19,,,
19,C0019,EU,2021-01-20,,,
20,C0020,,2021-01-21,2.0,526.81,True
21,C0021,EU,2021-01-22,,,
22,C0022,EU,2021-01-23,1.0,125.08,False
23,C0023,EU,2021-01-24,,,
24,C0024,,2021-01-25,,,
25,C0025,APAC,2021-01-26,,,
26,C0026,EU,2021-01-27,1.0,88.88,False
27,C0027,,2021-01-28,1.0,77.19,False
28,C0028,,2021-01-29,,,
29,C0029,EU,2021-01-30,1.0,35.04,False
30,C0030,,2021-01-31,1.0,71.19,False
31,C0031,EU,2021-02-01,,,
32,C0032,EU,2021-02-02,,,
33,C0033,APAC,2021-02-03,1.0,386.98,False
34,C0034,APAC,2021-02-04,,,
35,C0035,APAC,2021-02-05,,,
36,C0036,EU,2021-02-06,,,
37,C0037,EU,2021-02-07,,,
38,C0038,,2021-02-08,1.0,38.29,False
39,C0039,,2021-02-09,,,
40,C0040,EU,2021-02-10,,,
41,C0041,,2021-02-11,,,
42,C0042,EU,2021-02-12,,,
43,C0043,APAC,2027-11-11,,,
44,C0044,EU,2021-02-14,,,
45,C0045,,2021-02-15,3.0,718.98,True
46,C0046,EU,2021-02-16,,,
47,C0047,,2021-02-17,,,
48,C0048,,2021-02-18,1.0,25.77,False
49,C0049,EU,2021-02-19,,,
50,C0050,APAC,2021-02-20,,,
51,C0051,APAC,2027-11-11,,,
52,C0052,APAC,2021-02-22,1.0,16.48,False
53,C0053,APAC,2021-02-23,,,
54,C0054,,2021-02-24,,,
55,C0055,APAC,2021-02-25,,,
56,C0056,EU,2021-02-26,2.0,125.58,False
57,C0057,EU,2021-02-27,,,
58,C0058,EU,2021-02-28,3.0,389.32,True
59,C0059,EU,2021-03-01,,,
60,C0060,EU,2021-03-02,,,
61,C0061,EU,2021-03-03,2.0,188.39,False
62,C0062,APAC,2021-03-04,1.0,84.53,False
63,C0063,EU,2021-03-05,1.0,235.03,False
64,C0064,EU,2021-03-06,1.0,18.98,False
65,C0065,,2021-03-07,1.0,167.57,False
66,C0066,EU,2021-03-08,1.0,118.62,False
67,C0067,APAC,2021-03-09,1.0,254.3,True
68,C0068,EU,2021-03-10,1.0,170.38,False
69,C0069,APAC,2021-03-11,,,
70,C0070,APAC,2021-03-12,1.0,236.31,True
71,C0071,EU,2021-03-13,3.0,107.16,False
72,C0072,EU,2021-03-14,,,
73,C0073,APAC,2021-03-15,,,
74,C0074,,2021-03-16,1.0,35.18,False
75,C0075,,2021-03-17,,,
76,C0076,APAC,2021-03-18,,,
77,C0077,EU,2021-03-19,1.0,89.3,False
78,C0078,EU,2021-03-20,1.0,20.08,False
79,C0079,EU,2021-03-21,2.0,102.54,False
80,C0080,APAC,2021-03-22,1.0,247.84,True
81,C0081,,2021-03-23,1.0,139.71,False
82,C0082,EU,2021-03-24,,,
83,C0083,EU,2021-03-25,1.0,123.72,False
84,C0084,EU,2021-03-26,1.0,288.85,False
85,C0085,EU,2021-03-27,2.0,172.25,False
86,C0086,,2021-03-28,,,
87,C0087,,2021-03-29,,,
88,C0088,APAC,2021-03-30,,,
89,C0089,,2021-03-31,1.0,55.88,False
90,C0090,EU,2021-04-01,,,
91,C0091,,2021-04-02,3.0,63.92,False
92,C0092,APAC,2021-04-03,2.0,624.72,True
93,C0093,,2021-04-04,,,
94,C0094,APAC,2021-04-05,,,
95,C0095,,2021-04-06,1.0,184.37,False
96,C0096,,2021-04-07,,,
97,C0097,,2021-04-08,,,
98,C0098,EU,2021-04-09,1.0,61.43,False
99,C0099,EU,2021-04-10,,,
100,C0100,EU,2027-11-11,1.0,36.36,False
101,C0101,,2021-04-12,,,
102,C0102,EU,2021-04-13,,,
103,C0103,,2021-04-14,,,
104,C0104,APAC,2021-04-15,2.0,88.09,False
105,C0105,EU,2021-04-16,1.0,18.86,False
106,C0106,,2021-04-17,2.0,102.37,False
107,C0107,APAC,2027-11-11,,,
108,C0108,EU,2021-04-19,,,
109,C0109,EU,2021-04-20,1.0,68.81,False
110,C0110,EU,2021-04-21,2.0,165.04,False
111,C0111,EU,2021-04-22,2.0,531.1,True
112,C0112,APAC,2021-04-23,,,
113,C0113,APAC,2021-04-24,,,
114,C0114,,2021-04-25,,,
115,C0115,APAC,2021-04-26,,,
116,C0116,APAC,2027-11-11,,,
117,C0117,EU,2021-04-28,,,
118,C0118,APAC,2021-04-29,,,
119,C0119,,2021-04-30,,,
120,C0120,APAC,2021-05-01,,,
121,C0121,APAC,2021-05-02,,,
122,C0122,EU,2021-05-03,,,
123,C0123,EU,2021-05-04,,,
124,C0124,EU,2027-11-11,,,
125,C0125,,2021-05-06,,,
126,C0126,APAC,2021-05-07,,,
127,C0127,APAC,2021-05-08,,,
128,C0128,EU,2021-05-09,,,
129,C0129,,2021-05-10,,,
130,C0130,,2021-05-11,,,
131,C0131,EU,2021-05-12,2.0,434.76,True
132,C0132,EU,2021-05-13,,,
133,C0133,EU,2021-05-14,1.0,201.68,False
134,C0134,APAC,2021-05-15,,,
135,C0135,EU,2021-05-16,,,
136,C0136,,2021-05-17,,,
137,C0137,,2021-05-18,,,
138,C0138,EU,2021-05-19,,,
139,C0139,APAC,2021-05-20,,,
140,C0140,APAC,2021-05-21,,,
141,C0141,EU,2021-05-22,,,
142,C0142,,2021-05-23,1.0,9.37,False
143,C0143,EU,2021-05-24,1.0,173.87,False
144,C0144,EU,2021-05-25,,,
145,C0145,EU,2021-05-26,,,
146,C0146,,2021-05-27,,,
147,C0147,,2021-05-28,1.0,111.75,False
148,C0148,EU,2021-05-29,2.0,127.9,False
149,C0149,EU,2021-05-30,,,
150,C0150,APAC,2021-05-31,,,
151,C0151,EU,2021-06-01,1.0,279.09,True
152,C0152,EU,2021-06-02,,,
153,C0153,,2021-06-03,,,
154,C0154,APAC,2021-06-04,,,
155,C0155,EU,2021-06-05,,,
