user_id,event_date_month,monthly_avg_duration,user_global_avg_duration,is_at_risk
U001,2023-05,0 days 00:24:55.555363994,0 days 00:34:32.159812783,False
U001,2023-06,0 days 00:39:09.624243929,0 days 00:34:32.159812783,False
U001,2023-07,0 days 00:42:59.786556641,0 days 00:34:32.159812783,False
U001,2023-08,0 days 00:25:08.776861832,0 days 00:34:32.159812783,False
U001,2023-09,0 days 00:43:16.178366851,0 days 00:34:32.159812783,False
U001,2023-10,0 days 00:35:18.415141270,0 days 00:34:32.159812783,False
U001,2023-11,0 days 00:31:52.602883201,0 days 00:34:32.159812783,False
U001,2023-12,0 days 00:47:09.479333285,0 days 00:34:32.159812783,False
U002,2023-05,0 days 00:34:45.519855800,0 days 00:35:20.875376952,False
U002,2023-06,0 days 00:47:19.086140369,0 days 00:35:20.875376952,False
U002,2023-07,0 days 00:35:45.495208665,0 days 00:35:20.875376952,False
U002,2023-08,0 days 00:32:57.371396762,0 days 00:35:20.875376952,False
U002,2023-09,0 days 00:29:32.765035655,0 days 00:35:20.875376952,False
U002,2023-10,0 days 00:26:50.608100477,0 days 00:35:20.875376952,False
U002,2023-11,0 days 01:00:49.762793310,0 days 00:35:20.875376952,False
U003,2023-03,0 days 00:41:27.947337723,0 days 00:35:42.151029906,False
U003,2023-04,0 days 00:37:42.890246188,0 days 00:35:42.151029906,False
U003,2023-05,0 days 00:38:22.704368721,0 days 00:35:42.151029906,False
U003,2023-06,0 days 00:30:26.903396248,0 days 00:35:42.151029906,False
U003,2023-07,0 days 00:34:15.055885519,0 days 00:35:42.151029906,False
U003,2023-08,0 days 00:42:25.560596691,0 days 00:35:42.151029906,False
U003,2023-09,0 days 00:33:09.958038961,0 days 00:35:42.151029906,False
U003,2023-10,0 days 00:26:03.033464197,0 days 00:35:42.151029906,False
U003,2023-11,0 days 00:37:08.288555865,0 days 00:35:42.151029906,False
U003,2023-12,0 days 00:39:14.584503009,0 days 00:35:42.151029906,False
U004,2023-04,0 days 00:32:43.811215274,0 days 00:35:43.814321443,False
U004,2023-05,0 days 00:34:37.587094486,0 days 00:35:43.814321443,False
U004,2023-06,0 days 00:36:44.044898214,0 days 00:35:43.814321443,False
U004,2023-07,0 days 00:38:06.991493294,0 days 00:35:43.814321443,False
U004,2023-08,0 days 00:39:55.374865010,0 days 00:35:43.814321443,False
U004,2023-09,0 days 00:38:32.890333259,0 days 00:35:43.814321443,False
U004,2023-10,0 days 00:29:22.337136807,0 days 00:35:43.814321443,False
U004,2023-11,0 days 00:34:58.147193156,0 days 00:35:43.814321443,False
U004,2023-12,0 days 00:37:27.668786600,0 days 00:35:43.814321443,False
U006,2023-06,0 days 00:24:38.555029956,0 days 00:39:23.510381940,True
U006,2023-07,0 days 00:28:30.812122773,0 days 00:39:23.510381940,False
U006,2023-08,0 days 00:38:45.475630150,0 days 00:39:23.510381940,False
U006,2023-09,0 days 00:38:59.355044138,0 days 00:39:23.510381940,False
U006,2023-10,0 days 00:40:55.643196753,0 days 00:39:23.510381940,False
U006,2023-11,0 days 00:46:30.618750653,0 days 00:39:23.510381940,False
U006,2023-12,0 days 00:56:05.894958714,0 days 00:39:23.510381940,False
U007,2023-03,0 days 00:23:51.129593887,0 days 00:36:38.222414554,True
U007,2023-04,0 days 00:44:58.356111555,0 days 00:36:38.222414554,False
U007,2023-05,0 days 00:40:24.940956770,0 days 00:36:38.222414554,False
U007,2023-06,0 days 00:46:49.763425960,0 days 00:36:38.222414554,False
U007,2023-07,0 days 00:39:11.380164958,0 days 00:36:38.222414554,False
U007,2023-08,0 days 00:35:54.650985567,0 days 00:36:38.222414554,False
U007,2023-09,0 days 00:25:15.544080416,0 days 00:36:38.222414554,True
U007,2023-10,0 days 00:46:07.752150439,0 days 00:36:38.222414554,False
U007,2023-11,0 days 00:33:28.680969268,0 days 00:36:38.222414554,False
U007,2023-12,0 days 00:28:05.763143859,0 days 00:36:38.222414554,False
U008,2023-07,0 days 00:43:43.816753628,0 days 00:42:43.098346733,False
U008,2023-08,0 days 00:43:26.977772598,0 days 00:42:43.098346733,False
U008,2023-09,0 days 00:28:28.018466244,0 days 00:42:43.098346733,True
U008,2023-10,0 days 00:33:22.344271887,0 days 00:42:43.098346733,False
U008,2023-11,0 days 00:32:22.598344837,0 days 00:42:43.098346733,False
U008,2023-12,0 days 01:24:58.669826213,0 days 00:42:43.098346733,False
U009,2023-01,0 days 00:29:02.034392465,0 days 00:34:09.901804836,False
U009,2023-02,0 days 00:34:41.749733751,0 days 00:34:09.901804836,False
U009,2023-03,0 days 00:46:32.560622952,0 days 00:34:09.901804836,False
U009,2023-04,0 days 00:32:58.615735656,0 days 00:34:09.901804836,False
U009,2023-05,0 days 00:27:56.422772664,0 days 00:34:09.901804836,False
U011,2023-06,0 days 00:46:18.805635963,0 days 00:40:46.943042993,False
U011,2023-07,0 days 00:44:19.111261696,0 days 00:40:46.943042993,False
U011,2023-08,0 days 00:41:51.789895703,0 days 00:40:46.943042993,False
U011,2023-09,0 days 00:23:15.604219443,0 days 00:40:46.943042993,True
U011,2023-10,0 days 00:47:49.304552602,0 days 00:40:46.943042993,False
U012,2023-05,0 days 00:08:12.849272968,0 days 00:36:09.126607692,True
U012,2023-06,0 days 00:34:51.135965189,0 days 00:36:09.126607692,False
U012,2023-07,0 days 00:42:58.264690689,0 days 00:36:09.126607692,False
U012,2023-08,0 days 00:31:14.343473236,0 days 00:36:09.126607692,False
U012,2023-09,0 days 00:40:21.334008732,0 days 00:36:09.126607692,False
U012,2023-10,0 days 00:42:03.436574127,0 days 00:36:09.126607692,False
U012,2023-11,0 days 00:43:26.854308122,0 days 00:36:09.126607692,False
U012,2023-12,0 days 00:22:09.121063133,0 days 00:36:09.126607692,True
U015,2023-06,0 days 00:24:24.330118188,0 days 00:30:43.013948661,False
U015,2023-07,0 days 00:28:37.673588274,0 days 00:30:43.013948661,False
U015,2023-08,0 days 00:20:50.245078834,0 days 00:30:43.013948661,True
U015,2023-09,0 days 00:26:33.510380048,0 days 00:30:43.013948661,False
U015,2023-10,0 days 00:43:02.483561090,0 days 00:30:43.013948661,False
U015,2023-11,0 days 00:50:24.628775133,0 days 00:30:43.013948661,False
U015,2023-12,0 days 00:22:36.276436902,0 days 00:30:43.013948661,False
U017,2023-04,0 days 00:41:19.791052445,0 days 00:40:55.918213463,False
U017,2023-05,0 days 00:43:33.088439884,0 days 00:40:55.918213463,False
U017,2023-06,0 days 00:45:59.419515596,0 days 00:40:55.918213463,False
