order_id,user_id,order_date,amount
O00001,U001,01.06.2023,1796.92
O00002,U002,01.06.2023,1016.81
O00003,U003,01.06.2023,1569.27
O00004,U004,01.06.2023,1375.46
O00005,U005,02.06.2023,2434.23
O00006,U006,02.06.2023,1703.54
O00007,U007,02.06.2023,1770.08
O00008,U008,02.06.2023,1170.5
O00009,U009,03.06.2023,1109.92
O00010,U010,03.06.2023,-283.78
O00011,U011,03.06.2023,1815.56
O00012,U012,03.06.2023,1163.21
O00013,U013,04.06.2023,
O00014,U014,04.06.2023,3160.32
O00015,U015,04.06.2023,2196.9
O00016,U016,04.06.2023,1239.18
O00017,U017,05.06.2023,-281.75
O00018,U018,05.06.2023,1173.54
O00019,U019,05.06.2023,-130.5
O00020,U020,05.06.2023,693.53
O00021,U021,06.06.2023,3.37
O00022,U022,06.06.2023,1218.79
O00023,U023,06.06.2023,1514.73
O00024,U024,06.06.2023,2841.15
O00025,U025,07.06.2023,1761.54
O00026,U026,07.06.2023,1324.72
O00027,U027,07.06.2023,2163.52
O00028,U028,07.06.2023,-268.91
O00029,U029,08.06.2023,-250.36
O00030,U030,08.06.2023,2116.69
O00031,U031,08.06.2023,317.13
O00032,U032,08.06.2023,2415.0
O00033,U033,09.06.2023,1770.8
O00034,U034,09.06.2023,1167.77
O00035,U035,09.06.2023,2006.23
O00036,U036,09.06.2023,3316.55
O00037,U037,10.06.2023,1645.49
O00038,U038,10.06.2023,1698.58
O00039,U039,10.06.2023,1132.51
O00040,U040,10.06.2023,820.12
O00041,U041,11.06.2023,2164.27
O00042,U042,11.06.2023,815.13
O00043,U043,11.06.2023,1557.25
O00044,U044,11.06.2023,1117.87
O00045,U045,12.06.2023,1883.18
O00046,U046,12.06.2023,1766.93
O00047,U047,12.06.2023,2330.03
O00048,U048,12.06.2023,1091.99
O00049,U049,13.06.2023,1284.1
O00050,U050,13.06.2023,716.99
O00051,U051,13.06.2023,1144.57
O00052,U052,13.06.2023,1801.84
O00053,U053,14.06.2023,2105.59
O00054,U054,14.06.2023,762.27
O00055,U055,14.06.2023,2195.68
O00056,U056,14.06.2023,2584.51
O00057,U057,15.06.2023,1830.75
O00058,U058,15.06.2023,3001.44
O00059,U059,15.06.2023,880.97
O00060,U060,15.06.2023,504.28
O00061,U061,16.06.2023,77.02
O00062,U062,16.06.2023,2696.84
O00063,U063,16.06.2023,
O00064,U064,16.06.2023,1455.53
O00065,U065,17.06.2023,
O00066,U066,17.06.2023,599.61
O00067,U067,17.06.2023,3456.6
O00068,U068,17.06.2023,1603.38
O00069,U069,18.06.2023,1587.52
O00070,U070,18.06.2023,2080.61
O00071,U071,18.06.2023,1884.81
O00072,U072,18.06.2023,1679.11
O00073,U073,19.06.2023,867.62
O00074,U074,19.06.2023,1877.17
O00075,U075,19.06.2023,3005.62
O00076,U076,19.06.2023,2576.34
O00077,U077,20.06.2023,2774.55
O00078,U078,20.06.2023,1091.03
O00079,U079,20.06.2023,708.32
O00080,U080,20.06.2023,1399.37
O00081,U081,21.06.2023,1544.58
O00082,U082,21.06.2023,2375.35
O00083,U083,21.06.2023,146.03
O00084,U084,21.06.2023,2723.64
O00085,U085,22.06.2023,1373.59
O00086,U086,22.06.2023,1158.5
O00087,U087,22.06.2023,690.32
O00088,U088,22.06.2023,176.11
O00089,U089,23.06.2023,2158.54
O00090,U090,23.06.2023,1558.65
O00091,U091,23.06.2023,468.03
O00092,U092,23.06.2023,
O00093,U093,24.06.2023,1231.37
O00094,U094,24.06.2023,2835.22
O00095,U095,24.06.2023,1292.33
O00096,U096,24.06.2023,297.49
O00097,U097,25.06.2023,-257.79
O00098,U098,25.06.2023,1281.82
O00099,U099,25.06.2023,-657.51
O00100,U100,25.06.2023,1456.56
O00101,U101,26.06.2023,1315.25
O00102,U102,26.06.2023,2056.97
O00103,U103,26.06.2023,2979.16
O00104,U104,26.06.2023,2401.25
O00105,U105,27.06.2023,-143.89
O00106,U106,27.06.2023,614.78
O00107,U107,27.06.2023,3558.69
O00108,U108,27.06.2023,1547.37
O00109,U109,28.06.2023,1511.14
O00110,U110,28.06.2023,1480.7
O00111,U111,28.06.2023,1658.47
O00112,U112,28.06.2023,1384.51
O00113,U113,29.06.2023,1041.07
O00114,U114,29.06.2023,1062.51
O00115,U115,29.06.2023,1473.8
O00116,U116,29.06.2023,1065.26
O00117,U117,30.06.2023,929.72
O00118,U118,30.06.2023,1585.14
O00119,U119,30.06.2023,1296.02
O00120,U120,30.06.2023,-437.74
O00121,U121,01.07.2023,-620.78
O00122,U122,01.07.2023,2373.21
O00123,U123,01.07.2023,2496.87
O00124,U124,01.07.2023,-158.71
O00125,U125,02.07.2023,1225.85
O00126,U126,02.07.2023,1202.85
O00127,U127,02.07.2023,373.99
O00128,U128,02.07.2023,877.75
O00129,U129,03.07.2023,-160.02
O00130,U130,03.07.2023,-229.87
O00131,U131,03.07.2023,2248.54
O00132,U132,03.07.2023,2517.24
O00133,U133,04.07.2023,2077.34
O00134,U134,04.07.2023,596.76
O00135,U135,04.07.2023,1080.38
O00136,U136,04.07.2023,1891.5
O00137,U137,05.07.2023,522.3
O00138,U138,05.07.2023,2070.4
O00139,U139,05.07.2023,1307.74
O00140,U140,05.07.2023,1200.14
O00141,U141,06.07.2023,2068.77
O00142,U142,06.07.2023,1855.41
O00143,U143,06.07.2023,1211.23
O00144,U144,06.07.2023,2427.46
O00145,U145,07.07.2023,635.15
O00146,U146,07.07.2023,1992.75
O00147,U147,07.07.2023,1974.48
